"filename", "language", "YAML", "JSON", "XML", "Markdown", "HTML", "C++", "Dart", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\error\failure.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\mapper\profile_mapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 25
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\network\network.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\usecase\params\params.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 13, 81
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\usecase\usecase.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\app_assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\app_strings.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 13, 75
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 10, 43
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\dimensions.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 7, 24, 108
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\enums.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\fonts_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\hex_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\media_query_values.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 4, 25, 120
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\app_custom_animation_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\big_text_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\custom_cached_network_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 2, 72
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\empty_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\error_screen_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\expandable_text_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
